index,URI,Title,Artist,Album,Popularity
55,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,Stay With Me,Sam Smith,In The Lonely Hour,0
56,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,+,70
57,spotify:track:1jYiIOC5d6soxkJP81fxq2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Grateful,60
58,spotify:track:2JZKXgq5zsokN01KWyiY6n,Mirrors,Justin Timberlake,The 20/20 Experience,0
59,spotify:track:4lCv7b86sLynZbXhfScfm2,Firework,Katy Perry,Teenage Dream: The Complete Confection,68
60,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),85
61,spotify:track:4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe),74
62,spotify:track:3Du2K5dLzmduCNp6uwuaL0,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me,0
63,spotify:track:6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),63
64,spotify:track:2dWgzqawzDkBL8QfZw92Ub,In Case You Didn't Know,Brett Young,Brett Young EP,0
65,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,Singles You Up,Jordan Davis,Singles You Up,46
66,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,Craving You,Thomas Rhett,Craving You,0
67,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,All On Me,Devin Dawson,All On Me,0
68,spotify:track:6znSbsDDFdBZaiucjUGaWy,Light It Up,Luke Bryan,Light It Up,0
69,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,Unforgettable,Thomas Rhett,Life Changes,64
70,spotify:track:2n5ZD87XQ2yvIxGjoYbUmZ,I'll Name the Dogs,Blake Shelton,I'll Name the Dogs,42
71,spotify:track:0kdiUZDcLIFw0Buo9r0Q4z,Greatest Love Story,LANCO,LANCO - EP,0
72,spotify:track:6UsoV6X96Rox9mfxoz7SFy,You Broke Up with Me,Walker Hayes,You Broke Up with Me,48
73,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,Kiss Somebody,Morgan Evans,Kiss Somebody,48
74,spotify:track:3T6MAweakkNrMYs8jZIWtg,Like I Loved You,Brett Young,Brett Young,63
75,spotify:track:1KTLLe980WR4RLKg74Ud6e,The Long Way,Brett Eldredge,The Long Way,27
76,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,All Your Fault: Pt. 2,71
77,spotify:track:4oeGQb7zAVNRkpjjoNHK5K,Getting Over You,Jackie Lee,Getting Over You,0
78,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,Marry Me,Thomas Rhett,Life Changes,65
79,spotify:track:7zVCrzzEJU7u24sbJPXA5W,What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,68
80,spotify:track:3I7krC8kr0gFR7P6vInR1I,Do I Make You Wanna,Billy Currington,Summer Forever,61
81,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,Happens Like That,Granger Smith,Happens Like That,0
82,spotify:track:6OUdBkpAQtKyZ74cKukZ9W,We Were That Song,Brett Kissel,We Were That Song,0
83,spotify:track:7LP4Es66zdY7CyjepqmvAg,Down,Jay Sean,All Or Nothing,0
